3258084|GNM  8243M|POOL|GNMIIARM|36202KEQ4|GNM|AR|104|16245712.8|LOAN|19870701|20170720|-999.|-999|-999|19000101|3258084|-999|#|#|G23|19940101 00:00:00|GN_B|20170508 19:49:00
3301981|GNM  8733M|POOL|GNMIIARM|36202KV28|GNM|AQ|102|3511590.|LOAN|19951001|20250920|6.478|357|2|19000101|3301981|-999|#|#|G23|19960201 00:00:00|GN_B|20170508 19:49:00
3258431|GNM  8903M|POOL|GNMIIARM|36202K3L7|GNM|AR|104|3638327.|LOAN|19920101|20220120|7.5|358|1|19000101|3258431|-999|#|#|G23|19940101 00:00:00|GN_B|20170508 19:49:00
3460933|GNM 81762M|POOL|GNMIIARM|36225D5Y6|GNM|AT|495|1980257.|LOAN|20060901|20360820|5.798|357|2|19000101|3460933|-999|#|#|GNMD|20060915 19:55:00|GN_B|20170508 19:49:00
3514897|GNM 82638M|POOL|GNMIIARM|36225E4Y5|GNM|FT|551|692971.|LOAN|20100901|20400820|5.25|357|2|19000101|3514897|-999|#|#|GNMD|20100916 19:15:00|GN_B|20170508 19:49:00
3518848|GNM 82705M|POOL|GNMIIARM|36225FAF6|GNM|AS|497|982347.|LOAN|20101201|20401220|4.456|358|2|19000101|3518848|-999|#|#|GNMD|20101217 19:15:00|GN_B|20170508 19:49:00
3530052|GNM 82946M|POOL|GNMIIARM|36225FHY8|GNM|TL|598|179170.|LOAN|20110901|20410620|4.5|356|3|19000101|3530052|-999|#|#|GNMD|20110916 19:15:00|GN_B|20170508 19:49:00
3531393|GNM 82976M|POOL|GNMIIARM|36225FJW0|GNM|AT|495|553400.|LOAN|20111001|20411020|2.544|358|1|19000101|3531393|-999|#|#|GNMD|20111019 19:15:00|GN_B|20170508 19:49:00
3534950|GNM 83037M|POOL|GNMIIARM|36225FLT4|GNM|AS|497|751162.|LOAN|20120101|20420120|2.907|359|1|19000101|3534950|-999|#|#|GNMD|20120118 19:15:00|GN_B|20170508 19:49:00
3120847|GNM186682X|POOL|GNM30|362169J39|GNM|SF|136|31023982.|LOAN|19870701|20170715|-999.|-999|-999|19000101|3120847|-999|Y|#|G13|19940101 00:00:00|GN_B|20170508 19:49:00
3120851|GNM186686X|POOL|GNM30|362169J70|GNM|SF|136|7021700.51|LOAN|19870701|20170715|-999.|-999|-999|19000101|3120851|-999|Y|#|G13|19940101 00:00:00|GN_B|20170508 19:49:00
3121343|GNM187372X|POOL|GNM30|36217ACH1|GNM|SF|136|3996880.15|LOAN|19870701|20170615|-999.|-999|-999|19000101|3121343|-999|Y|#|G13|19940101 00:00:00|GN_B|20170508 19:49:00
3122180|GNM188345X|POOL|GNM30|36217BES3|GNM|SF|136|1000104.13|LOAN|19880101|20171215|-999.|-999|-999|19000101|3122180|-999|Y|#|G13|19940101 00:00:00|GN_B|20170508 19:49:00
3122267|GNM188432X|POOL|GNM30|36217BHH4|GNM|SF|136|2998620.31|LOAN|19870701|20170615|-999.|-999|-999|19000101|3122267|-999|Y|#|G13|19940101 00:00:00|GN_B|20170508 19:49:00
3125494|GNM192292X|POOL|GNMSN|36217FRM3|GNM|SN|137|2506199.75|LOAN|19870801|20170815|-999.|-999|-999|19000101|3125494|-999|N|#|G13|19940101 00:00:00|GN_B|20170508 19:49:00
3126322|GNM193356X|POOL|GNM30|36217GWR4|GNM|SF|136|17952089.01|LOAN|19870801|20170715|-999.|-999|-999|19000101|3126322|-999|Y|#|G13|19940101 00:00:00|GN_B|20170508 19:49:00
3127342|GNM194791X|POOL|GNM30|36217JKC4|GNM|SF|136|1527780.19|LOAN|19870601|20170615|-999.|-999|-999|19000101|3127342|-999|Y|#|G13|19940101 00:00:00|GN_B|20170508 19:49:00
3128080|GNM195719X|POOL|GNM30|36217KK80|GNM|SF|136|3693877.76|LOAN|19870701|20170715|-999.|-999|-999|19000101|3128080|-999|Y|#|G13|19940101 00:00:00|GN_B|20170508 19:49:00
3128300|GNM196014X|POOL|GNM30|36217KVF2|GNM|SF|136|1686160.1|LOAN|19870701|20170715|-999.|-999|-999|19000101|3128300|-999|Y|#|G13|19940101 00:00:00|GN_B|20170508 19:49:00
3135160|GNM204826X|POOL|GNM30|36217VPK4|GNM|SF|136|2185806.21|LOAN|19870801|20170615|-999.|-999|-999|19000101|3135160|-999|Y|#|G13|19940101 00:00:00|GN_B|20170508 19:49:00
